Gene	Class
C10L	early
C9L	early
C7L	early
C2L	early
C1L	early
N2L	early
M1L	early
K1L	early
K4L	early
VACWR037	early
K6L	early
K7R	early
F4L	early
F11L	early
F12L	early
F15L	early
F16L	early
E1L	early
E2L	early
E3L	early
E9L	early
O1L	early
I4L	early
G2R	early
G5R	early
G5.5R	early
J3R	early
J6R	early
H5R	early
D1R	early
D4R	early
D5R	early
D12L	early
A8R	early
A18R	early
A20R	early
A24R	early
A29L	early
A31R	early
A35R	early
A36R	early
A37R	early
A40R	early
A41L	early
A47L	early
A48R	early
A50R	early
A51R	early
A52R	early
A55R	early
A56R	early
B1R	early
B5R	early
B8R	early
B11R	early
B12R	early
VACWR-B15R	early
B17L	early
B18R	early
B19R	early
VACWR209	early
F13L	interm
E6R	interm
E7R	interm
E11L	interm
I1L	interm
I6L	interm
I8R	interm
L4R	interm
J1R	interm
H3L	interm
H7R	interm
D6R	interm
D8L	interm
D10R	interm
D11L	interm
D13L	interm
A2L	interm
A2.5L	interm
A6L	interm
A12L	interm
A16L	interm
A22R	interm
VACWR148	interm
A27L	interm
A32L	interm
A34R	interm
A42R	interm
A43R	interm
B4R	interm
VACWR192	interm
C8L	later
C3L	later
F10L	later
I7L	later
G1L	later
G3L	later
G7L	later
L3L	later
J5L	later
H4L	later
H6R	later
D2L	later
A7L	later
A10L	later
A11R	later
A13L	later
A21L	later
A26L	later
B7R	later
